 
       #      w [eV]       Osc.Str.        Transition
 
 ==========================================================
 
       1      4.499       0.0000000        6   ->     7  
       2      8.024       0.2446608        5   ->     7  
       3      8.700       0.0000002        4   ->     7  
       4      9.321       0.0000000        3   ->     7  
       5     12.724       0.0000000        2   ->     7  
       6     16.131       0.2711483        6   ->     8  
       7     17.017       0.3348119        6   ->     9  
       8     19.656       0.0000001        5   ->     8  
       9     20.331       0.1107195        4   ->     8  
      10     20.542       0.0000000        5   ->     9  
      11     20.952       0.4218077        3   ->     8  
      12     21.217       0.1257333        4   ->     9  
      13     21.838       0.0150856        3   ->     9  
      14     23.029       0.0000000        1   ->     7  
      15     24.356       0.1836352        2   ->     8  
      16     25.242       0.4374742        2   ->     9  
      17     34.661       0.0044403        1   ->     8  
      18     35.547       0.0286491        1   ->     9  
      19     38.868       0.0000187        6   ->    10  
      20     42.392       0.0000004        5   ->    10  
      21     43.068       0.7996162        4   ->    10  
      22     43.689       0.0000162        3   ->    10  
      23     47.093       0.0835870        2   ->    10  
      24     57.398       2.0076694        1   ->    10  
 
